PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,ITALY,MEXICO,SOUTH KOREA,UNITED STATES
0,40,0.0331,10.31009766,1.14726,,1.54931,1.03058,1.29714,,1.16218
1,40,0.6173,158.3631,,,0.96484583,,1.162497188,1.366349,1.582068577
2,40,0.7165,158.3631,1.212256731,1.177439,,0.853122208,,1.005289,
3,40,1.6094,675,3.187675468,2.818812055,1.118853832,,,,3.280915
4,40,0.4299,367.875,2.061070995,,1.178829716,2.184870544,1.084648684,1.108842,1.9404
5,40,0.4299,367.875,,,,2.342492058,1.058443176,1.108842,
6,20,0.2964,7.224344457,4.661012168,4.221792216,5.236744814,3.831692902,4.183710834,4.340776337,4.219772231
7,20,0.2299,0.306,3.140123,,3.894605722,,,2.4815995,
8,20,0.3704,0.456923077,8.701194,10.46129882,7.186921291,11.63479837,7.043075798,6.693041764,9.71908837
9,20,20.8,27144.07989,,,,,281.758324,215.7615049,239.7133944
10,15,0.4137,32.58590814,1.192856938,0.984010755,1.258316834,1.004900079,1.258329247,1.201361201,1.10813
11,10,0.065,57.9684,1.329741037,1.257377168,,0.821334177,1.338844564,,
12,20,0.9196,7.317333333,1.884855,,1.30258346,2.083716776,,1.454875362,
13,20,0.119,3.966163636,,0.930666506,1.37615573,,1.006770336,1.136334,1.006484746
14,20,0.4814,13.47468889,1.858838248,1.86594873,,1.017051,0.831123423,,1.776979137
15,20,0.7298,44.95,1.674039,1.272810969,1.735272403,,1.160147896,1.825927889,1.495
