PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
0,40,0.6173,158.3631,,1.177439,,,1.366349,,
1,40,0.7165,158.3631,,1.177439,,,1.005289,,
2,40,1.6094,675,,,,,1.412169,,3.280915
3,40,0.4299,367.875,,,,,1.108842,,1.9404
4,40,0.4299,367.875,,,,,1.108842,,1.9404
5,20,0.2964,7.224344457,,,,,4.340776337,,4.219772231
6,20,0.2299,0.306,3.140123,,,,2.4815995,,
7,20,0.3704,0.456923077,8.701194,,,,,,9.71908837
8,20,20.8,27144.07989,,,234.062712,281.758324,,,
9,20,0.9196,7.317333333,1.884855,,,,,,1.558368
10,20,0.7298,44.95,1.674039,,,,,,1.495
11,20,0.4066,18.79204131,,,,,,1.445212688,1.260918
12,15,0.1074,7.4470625,,,,,2.016076,,2.249880588
13,20,0.4328,2.86875,1.503084,,,,,,1.331903579
14,20,0.7366,317.7281325,,,,,1.312282,1.001870708,1.276084
15,20,0.645,334.3162617,,,1.541836627,,1.990416,,1.958796
16,20,0.2051,11.9153,,,,,1.000707,,1.298693677
17,20,0.4775,4.5,1.459201,,,,,,1.377256
18,20,0.3373,12.65692232,,,,,1.27196,,1.38652612
19,20,0.8618,84.5868125,,,,,1.387427,,1.214342197
20,20,0.4373,28.8,,,,,2.784017,,1.440937937
21,15,2.3756,159.0759259,,,,,5.66059,,1.850262
22,10,0.715,2738.20625,,,,,4.044981,,4.195991
23,10,6.3823,796.4444444,,,,30.252489,30.23087517,,30.252489
24,10,0.16,842.525,1.973071111,,,,2.030738,,
25,10,2.381,1669.090909,4.473344,,,4.473344,,,
26,10,1.195,4107.309375,,,,,5.978581,,6.263841
27,10,6.6579,583.2059063,,,,31.539261,,,31.539261
28,10,1.045,3131.2,,,,,10.09282608,,6.41
29,60,6.233,49998.04688,,23.458872,20.949701,,,,
30,50,2.2368,738.4700735,,,2.197635,,1.560626,,
31,50,22.8275,4834.473617,,,,,9.238653676,,27.3866
32,40,0.3704,16.02886176,2.178918,,1.440334292,,,,
