PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,ITALY,MEXICO,SOUTH KOREA,UNITED STATES
0.0,40.0,0.0331,10.3101,,1.2672,,,,1.36165,
1.0,40.0,0.6173,158.363,1.69561,1.17744,,1.1051,,1.36635,1.78213
2.0,40.0,0.7165,158.363,1.33455,1.17744,,0.74404,,1.00529,1.42107
3.0,40.0,1.6094,675.0,3.37043,1.31771,,1.15092,,1.41217,3.28092
4.0,40.0,0.4299,367.875,2.02992,1.01439,,0.847593,,1.10884,1.9404
5.0,40.0,0.4299,367.875,2.02992,1.01439,,0.847593,,1.10884,1.9404
6.0,20.0,0.2964,7.22434,4.38302,4.42685,,4.07953,,4.34078,4.21977
7.0,20.0,0.2299,0.306,3.14012,2.56767,,2.22035,,2.4816,3.64907
8.0,20.0,0.3704,0.456923,8.70119,,,,,8.37193,9.71909
9.0,20.0,20.8,27144.1,,,234.063,,281.758,,
10.0,15.0,0.4137,32.5859,1.19765,,,,,0.692351,1.10813
11.0,10.0,0.065,57.9684,1.41604,0.99232,,0.825526,,1.08677,1.50255
12.0,20.0,0.9196,7.31733,1.88486,,,,,1.61887,1.55837
13.0,20.0,0.119,3.96616,1.4656,1.22241,,0.875085,,1.13633,1.07583
14.0,20.0,0.4814,13.4747,1.86881,1.62562,,1.01705,,1.53955,1.47905
15.0,20.0,0.7298,44.95,1.67404,,,,,1.07922,1.495
