PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
0.0,40.0,0.6173,158.363,0.396074,1.17744,1.30059,0.897848,1.36635,1.21114,1.27981
1.0,40.0,0.7165,158.363,0.396074,1.17744,0.939528,0.536788,1.00529,0.850083,0.918747
2.0,40.0,1.6094,675.0,1.62903,3.88271,1.52042,2.2449,1.41217,2.15167,3.28092
3.0,40.0,0.4299,367.875,1.29194,1.90125,0.741748,1.80672,1.10884,1.32975,1.9404
4.0,40.0,0.4299,367.875,1.29194,1.90125,0.741748,1.80672,1.10884,1.32975,1.9404
5.0,20.0,0.2964,7.22434,4.38302,4.12423,3.00581,4.19841,4.34078,4.31192,4.21977
6.0,20.0,0.2299,0.306,3.14012,3.09108,2.77083,2.17438,2.4816,2.32639,2.38608
7.0,20.0,0.3704,0.456923,8.70119,8.67393,8.3319,9.69773,8.37193,9.81124,9.71909
8.0,20.0,20.8,27144.1,281.648,280.166,234.063,281.758,225.13,230.069,281.758
9.0,20.0,0.9196,7.31733,1.88486,1.46283,1.51556,1.53701,1.61887,1.65052,1.55837
10.0,20.0,0.7298,44.95,1.67404,1.48929,1.60278,1.32312,1.5156,1.09408,1.495
11.0,20.0,0.4066,18.792,1.35044,0.299689,0.0469602,1.08903,0.964092,1.44521,1.26092
12.0,15.0,0.1074,7.44706,2.41312,2.15434,1.03592,1.70886,2.01608,2.34203,2.24988
13.0,20.0,0.4328,2.86875,1.50308,1.47293,1.13379,1.31054,-0.586976,1.42405,1.3319
14.0,20.0,0.7366,317.728,1.52914,1.05044,1.42092,1.80357,1.31228,1.00187,1.27608
15.0,20.0,0.645,334.316,1.40567,2.56059,1.54184,1.9588,1.99042,1.77973,1.9588
16.0,20.0,0.2051,11.9153,1.46194,1.20316,0.0847359,0.693488,1.00071,1.39084,1.29869
17.0,20.0,0.4775,4.5,1.4592,1.37726,1.08991,1.35589,-0.541623,1.4694,1.37726
18.0,20.0,0.3373,12.6569,1.54977,1.29099,0.172568,0.964741,1.27196,1.47867,1.38653
19.0,20.0,0.8618,84.5868,1.57052,1.118,1.32167,1.163,1.38743,0.81342,1.21434
20.0,20.0,0.4373,28.8,1.53046,2.97069,0.482729,1.52491,2.78402,1.53309,1.44094
21.0,15.0,2.3756,159.076,5.71727,1.6219,5.2935,5.70721,5.66059,3.56055,1.85026
22.0,10.0,0.715,2738.21,0.211891,4.49137,2.99582,4.02414,4.04498,5.21279,4.19599
23.0,10.0,6.3823,796.444,30.1417,35.3882,30.2525,30.2525,30.2309,30.4674,30.2525
24.0,10.0,0.16,842.525,1.97307,2.11103,2.33663,1.97307,2.03074,3.19854,1.43195
25.0,10.0,2.381,1669.09,4.47334,4.68011,2.38264,4.47334,4.5252,3.85521,4.1539
26.0,10.0,1.195,4107.31,7.33578,4.94066,4.3459,6.26384,5.97858,6.21514,6.26384
27.0,10.0,6.6579,583.206,31.4285,36.6749,31.5393,31.5393,31.5249,30.9211,31.5393
28.0,10.0,1.045,3131.2,3.22393,6.70538,5.20982,6.41,10.0928,10.3349,6.41
29.0,60.0,6.233,49998.0,23.0404,23.4589,20.9497,21.8831,24.4913,24.7333,22.2406
30.0,50.0,2.2368,738.47,2.06147,1.64035,2.19763,2.05191,1.56063,1.40542,2.90316
31.0,50.0,22.8275,4834.47,23.4025,26.9603,9.44162,27.7718,9.23865,10.4065,27.3866
32.0,40.0,0.3704,16.0289,2.17892,1.311,1.44033,2.20295,1.84966,1.4743,2.01567
33.0,60.0,1.594,32240.0,3.45678,2.96299,1.36608,2.29949,1.38745,1.88855,2.53034
34.0,60.0,1.64,32240.0,3.45678,2.96299,1.36608,2.29949,1.38745,1.88855,2.53034
35.0,20.0,1.3448,142.5,5.27725,11.88,5.41341,13.245,10.3104,8.80701,12.17
36.0,20.0,13.534,48694.8,34.0203,33.1842,31.9296,33.8758,22.9971,28.9619,33.2834
37.0,20.0,76.9795,15518.5,17.0603,16.859,17.6938,18.1504,27.0704,61.0436,19.0477
38.0,20.0,76.9795,12711.1,17.0603,16.8567,17.6938,18.1504,27.0704,61.0413,19.0477
39.0,20.0,0.2307,129.442,1.43123,1.24264,0.987657,1.2624,1.24813,1.03671,1.21504
40.0,20.0,0.5288,611.434,1.83083,1.82666,1.68607,0.767116,1.77415,2.94195,1.73654
41.0,20.0,14.155,34787.3,12.1356,13.7569,21.0061,9.90049,12.0735,57.9415,4.05078
42.0,50.0,1.43,2869.52,3.06922,4.19894,3.69887,3.41366,3.07772,5.43317,3.38602
43.0,50.0,1.435,2869.52,3.06922,4.19527,3.6952,3.41366,3.07772,5.4295,3.38602
44.0,80.0,1.785,917.172,1.30769,1.27111,-1.96219,1.30769,0.827865,-1.80188,1.49947
45.0,20.0,0.3461,163.286,2.01131,1.44109,2.60776,2.68555,1.82821,2.1494,2.86034
46.0,20.0,0.2788,102.454,1.92883,2.32177,2.19073,2.37708,1.74574,2.01719,2.41811
47.0,20.0,2.484,3468.39,9.27026,9.24004,7.17956,9.03327,8.90981,7.09399,8.62043
48.0,20.0,8.194,476.938,8.51762,10.0675,9.56748,8.51762,7.92641,7.89949,8.73779
49.0,50.0,3.7654,1680.65,2.06308,1.70908,2.00796,1.62138,1.62936,2.79716,2.18889
50.0,50.0,3.7494,1680.65,2.06308,1.70908,2.00796,1.62138,1.62936,2.79716,2.18889
